id,Gender,CustomerType,Age,TravelType,Class,FlightDistance,InflightWifi,FoodAndDrink,SeatComfort,InflightEntertainment,OnboardService,LegRoomService,InflightService,Cleanliness,Satisfaction
18983,Male,Loyal Customer,52,Business travel,Business,3245,4,2,3,5,5,5,5,3,satisfied
67702,Male,Loyal Customer,51,Business travel,Business,3991,5,3,5,4,4,3,4,3,satisfied
90041,Female,Loyal Customer,39,Business travel,Business,3081,5,2,4,2,2,2,2,4,satisfied
83598,Male,Loyal Customer,60,Business travel,Business,3626,2,4,4,5,5,5,5,5,satisfied
3875,Female,Loyal Customer,44,Business travel,Business,3767,1,5,2,2,2,2,2,2,neutral or dissatisfied
114915,Male,Loyal Customer,48,Business travel,Business,3185,2,5,4,5,5,5,5,5,satisfied
39499,Male,Loyal Customer,24,Business travel,Business,3482,5,4,4,4,3,2,4,4,satisfied
96830,Male,Loyal Customer,37,Business travel,Business,3744,5,5,5,5,4,4,4,5,satisfied
109465,Female,Loyal Customer,24,Business travel,Business,3536,5,4,4,4,3,5,5,4,satisfied
98908,Male,Loyal Customer,44,Business travel,Business,3165,2,4,5,4,4,4,4,3,satisfied
115331,Male,Loyal Customer,42,Business travel,Business,3605,4,3,4,4,4,4,4,3,satisfied
109049,Male,Loyal Customer,45,Business travel,Business,3692,2,1,2,2,2,2,2,4,neutral or dissatisfied
111496,Female,Loyal Customer,44,Business travel,Business,3979,4,3,5,4,4,4,4,3,satisfied
8105,Female,Loyal Customer,47,Business travel,Business,3546,2,4,2,2,2,2,2,2,neutral or dissatisfied
97335,Male,Loyal Customer,40,Business travel,Business,3764,1,4,4,4,4,5,4,3,satisfied
27289,Male,Loyal Customer,34,Business travel,Business,3144,4,3,4,5,5,5,5,1,satisfied
61198,Male,Loyal Customer,69,Business travel,Business,3714,4,1,2,4,4,4,4,1,neutral or dissatisfied
99081,Male,Loyal Customer,43,Business travel,Business,3677,4,4,4,4,4,4,4,5,satisfied
6133,Male,Loyal Customer,45,Business travel,Business,3052,1,3,4,3,3,3,3,3,satisfied
9170,Female,Loyal Customer,64,Business travel,Business,3239,3,3,4,4,4,5,4,3,satisfied
16311,Male,Loyal Customer,28,Business travel,Business,3545,2,5,5,5,2,1,5,5,satisfied
7179,Female,Loyal Customer,40,Business travel,Business,3011,5,4,5,5,5,4,5,4,satisfied
1936,Male,Loyal Customer,51,Business travel,Business,3304,2,5,5,5,5,5,5,5,satisfied
94609,Male,Loyal Customer,50,Business travel,Business,3960,4,3,4,5,5,5,5,5,satisfied
71012,Male,Loyal Customer,52,Business travel,Business,3496,5,3,5,5,5,5,5,3,satisfied
104313,Female,Loyal Customer,41,Business travel,Business,3396,3,4,5,5,5,5,5,4,satisfied
17005,Male,Loyal Customer,47,Business travel,Business,3349,3,5,4,4,4,4,4,3,satisfied
23979,Male,Loyal Customer,52,Business travel,Business,3092,1,2,5,4,4,4,4,3,satisfied
64701,Female,Loyal Customer,37,Business travel,Business,3969,1,5,3,4,4,4,4,3,neutral or dissatisfied
107479,Male,Loyal Customer,50,Business travel,Business,3610,4,5,5,5,5,5,5,4,satisfied
95974,Male,Loyal Customer,42,Business travel,Business,3381,2,5,4,5,5,5,5,5,satisfied
47902,Male,Loyal Customer,31,Business travel,Business,3561,1,5,5,5,3,3,3,5,satisfied
129624,Male,Loyal Customer,32,Business travel,Business,3802,0,5,5,5,3,2,5,5,satisfied
52290,Male,Loyal Customer,60,Business travel,Business,3664,1,1,3,1,1,1,1,3,neutral or dissatisfied
119130,Female,Loyal Customer,56,Business travel,Business,3538,3,3,5,5,5,5,5,4,satisfied
71587,Female,Loyal Customer,41,Business travel,Business,3247,5,2,5,4,4,4,4,3,satisfied
50393,Male,Loyal Customer,52,Business travel,Business,3807,1,1,3,3,3,3,3,3,neutral or dissatisfied
24382,Female,Loyal Customer,55,Business travel,Business,3275,2,3,4,2,2,2,2,2,neutral or dissatisfied
6274,Female,Loyal Customer,43,Business travel,Business,3967,3,1,3,3,3,3,3,4,neutral or dissatisfied
105516,Female,Loyal Customer,44,Business travel,Business,3954,1,4,5,5,5,5,5,5,satisfied
75964,Male,Loyal Customer,50,Business travel,Business,3548,2,5,4,5,5,5,5,3,satisfied
128755,Male,Loyal Customer,27,Business travel,Business,3657,3,5,5,5,4,3,5,5,satisfied
24772,Female,Loyal Customer,47,Business travel,Business,3391,1,4,4,5,5,5,5,1,satisfied
48727,Female,Loyal Customer,50,Business travel,Business,3455,0,2,5,4,4,4,4,3,satisfied
98244,Female,Loyal Customer,32,Business travel,Business,3066,4,5,5,5,5,4,4,5,satisfied
68153,Female,Loyal Customer,51,Business travel,Business,3993,1,4,4,4,4,4,4,4,satisfied
67010,Male,Loyal Customer,27,Business travel,Business,3534,5,4,4,4,4,4,5,4,satisfied
117009,Male,Loyal Customer,52,Business travel,Business,3885,2,2,5,5,5,5,5,4,satisfied
31498,Female,Loyal Customer,16,Business travel,Business,3494,3,3,3,3,1,2,4,3,neutral or dissatisfied
89153,Female,Loyal Customer,49,Business travel,Business,3465,1,1,3,1,1,1,1,4,neutral or dissatisfied
74085,Female,Loyal Customer,52,Business travel,Business,3895,4,4,4,4,4,4,4,3,satisfied
43832,Male,Loyal Customer,26,Business travel,Business,3434,0,1,1,1,4,2,2,1,satisfied
99991,Female,Loyal Customer,58,Business travel,Business,3944,0,4,5,1,1,1,1,4,satisfied
59271,Female,Loyal Customer,26,Business travel,Business,4243,2,4,4,3,5,4,5,4,satisfied
77895,Female,Loyal Customer,34,Business travel,Business,3169,2,3,3,2,2,2,2,4,neutral or dissatisfied
115386,Male,Loyal Customer,57,Business travel,Business,3902,1,5,5,5,5,5,5,3,satisfied
26826,Female,Loyal Customer,33,Business travel,Business,3972,5,5,2,5,5,5,5,3,satisfied
75883,Male,Loyal Customer,47,Business travel,Business,3227,4,5,4,4,4,4,4,5,satisfied
85999,Male,Loyal Customer,39,Business travel,Business,3467,4,4,4,4,4,4,4,5,satisfied
37035,Female,Loyal Customer,15,Business travel,Business,3746,2,4,4,4,1,5,1,4,satisfied
120873,Male,Loyal Customer,50,Business travel,Business,3839,1,3,5,4,4,4,4,4,satisfied
95839,Female,Loyal Customer,41,Business travel,Business,3857,2,5,3,2,2,2,2,4,neutral or dissatisfied
41533,Female,Loyal Customer,36,Business travel,Business,3979,2,3,2,2,2,2,2,2,neutral or dissatisfied
64837,Male,Loyal Customer,40,Business travel,Business,3523,4,2,3,4,4,4,4,4,neutral or dissatisfied
24367,Male,Loyal Customer,34,Business travel,Business,3162,1,1,5,5,5,5,5,2,satisfied
87683,Male,Loyal Customer,57,Business travel,Business,3132,2,4,3,3,3,3,3,2,neutral or dissatisfied
20523,Female,Loyal Customer,42,Business travel,Business,3529,2,3,2,4,4,4,4,4,satisfied
45591,Female,Loyal Customer,59,Business travel,Business,3553,2,5,2,3,3,4,3,2,satisfied
52903,Male,Loyal Customer,48,Business travel,Business,3020,5,5,1,5,5,5,5,1,satisfied
70548,Male,Loyal Customer,43,Business travel,Business,3221,1,3,5,4,4,4,4,5,satisfied
51594,Female,Loyal Customer,31,Business travel,Business,3331,1,5,5,5,4,1,5,5,satisfied
65305,Female,Loyal Customer,40,Business travel,Business,3857,4,5,5,5,5,5,5,4,satisfied
9300,Male,Loyal Customer,58,Business travel,Business,3697,4,2,5,5,5,5,5,5,satisfied
129286,Female,Loyal Customer,51,Business travel,Business,3324,4,3,5,4,4,4,4,3,satisfied
124340,Male,Loyal Customer,33,Business travel,Business,3988,1,5,5,5,5,5,4,5,satisfied
105222,Female,Loyal Customer,45,Business travel,Business,3597,4,3,5,2,2,2,2,4,satisfied
2251,Female,Loyal Customer,22,Business travel,Business,3152,1,1,1,1,4,3,3,1,neutral or dissatisfied
100137,Male,Loyal Customer,57,Business travel,Business,3743,2,3,4,5,5,5,5,4,satisfied
71567,Female,Loyal Customer,50,Business travel,Business,3710,4,3,3,4,4,4,4,4,neutral or dissatisfied
73696,Female,Loyal Customer,36,Business travel,Business,3964,2,5,4,5,5,5,5,3,satisfied
73049,Male,Loyal Customer,52,Business travel,Business,3448,1,5,5,5,5,5,5,5,satisfied
2123,Male,Loyal Customer,51,Business travel,Business,3466,2,3,4,4,4,4,4,5,satisfied
30901,Female,Loyal Customer,24,Business travel,Business,3931,3,3,3,3,1,3,4,3,satisfied
87902,Female,Loyal Customer,49,Business travel,Business,3235,4,5,4,3,3,4,3,3,satisfied
12778,Male,Loyal Customer,50,Business travel,Business,3550,5,2,4,4,4,4,4,5,satisfied
6511,Male,Loyal Customer,60,Business travel,Business,3159,2,5,4,3,3,4,3,5,satisfied
754,Male,Loyal Customer,56,Business travel,Business,3435,3,4,5,5,5,5,5,3,satisfied
86964,Male,Loyal Customer,43,Business travel,Business,3576,4,5,5,4,4,5,4,4,satisfied
73635,Female,Loyal Customer,39,Business travel,Business,3873,4,2,4,4,4,4,4,3,satisfied
67826,Female,Loyal Customer,74,Business travel,Business,3589,3,3,2,3,3,3,3,4,satisfied
113549,Female,Loyal Customer,56,Business travel,Business,3911,2,4,3,2,2,2,2,4,neutral or dissatisfied
99997,Male,Loyal Customer,59,Business travel,Business,3261,4,3,5,4,4,4,4,5,satisfied
72365,Female,Loyal Customer,30,Business travel,Business,3513,5,3,3,3,5,4,4,3,satisfied
122538,Female,Loyal Customer,38,Business travel,Business,3453,4,4,5,4,4,4,4,4,satisfied
25165,Male,Loyal Customer,40,Business travel,Business,3858,1,4,5,3,3,3,3,3,satisfied
60445,Male,Loyal Customer,43,Business travel,Business,3687,2,2,4,4,4,4,4,3,satisfied
724,Male,Loyal Customer,45,Business travel,Business,3934,2,1,2,1,1,1,1,4,neutral or dissatisfied
116830,Male,Loyal Customer,43,Business travel,Business,3802,3,4,4,5,5,5,5,4,satisfied
62949,Female,Loyal Customer,58,Business travel,Business,3529,5,4,4,4,4,4,4,5,satisfied
118301,Female,Loyal Customer,24,Business travel,Business,3410,5,4,4,4,3,2,4,4,satisfied
106645,Female,Loyal Customer,43,Business travel,Business,3936,3,5,4,4,4,4,4,4,satisfied
37062,Male,Loyal Customer,20,Business travel,Business,3372,3,5,5,5,4,4,1,5,satisfied
68285,Male,Loyal Customer,53,Business travel,Business,3472,2,4,3,2,2,2,2,2,neutral or dissatisfied
38966,Female,Loyal Customer,51,Business travel,Business,3461,0,5,4,4,4,4,4,1,satisfied
7788,Male,Loyal Customer,43,Business travel,Business,3048,5,4,5,2,2,2,2,3,satisfied
127542,Male,Loyal Customer,11,Business travel,Business,3187,4,4,4,4,2,2,4,4,neutral or dissatisfied
64550,Male,Loyal Customer,37,Business travel,Business,3476,3,3,4,3,3,4,3,4,satisfied
38449,Male,Loyal Customer,44,Business travel,Business,3187,2,2,5,5,5,5,5,1,satisfied
65560,Female,Loyal Customer,49,Business travel,Business,3043,0,4,4,3,3,3,3,5,satisfied
13502,Male,Loyal Customer,53,Business travel,Business,3316,4,5,5,4,4,4,4,3,satisfied
2173,Female,Loyal Customer,41,Business travel,Business,3108,3,3,3,3,3,3,3,2,neutral or dissatisfied
48856,Male,Loyal Customer,36,Business travel,Business,3635,5,4,4,4,4,4,4,1,satisfied
31611,Male,Loyal Customer,32,Business travel,Business,3712,2,5,5,5,3,4,5,5,satisfied
63905,Male,Loyal Customer,39,Business travel,Business,3724,4,3,3,4,4,4,4,1,neutral or dissatisfied
105694,Female,Loyal Customer,54,Business travel,Business,3598,2,4,5,4,4,4,4,3,satisfied
122911,Male,Loyal Customer,50,Business travel,Business,3467,1,2,5,4,4,4,4,4,satisfied
28742,Female,Loyal Customer,23,Business travel,Business,3306,4,5,5,5,4,1,2,5,satisfied
105452,Male,Loyal Customer,32,Business travel,Business,3200,3,3,3,3,4,2,3,3,neutral or dissatisfied
125298,Female,Loyal Customer,57,Business travel,Business,3488,3,5,5,4,4,4,4,4,satisfied
121782,Female,Loyal Customer,61,Business travel,Business,3749,5,2,5,4,4,4,4,5,satisfied
113800,Female,Loyal Customer,49,Business travel,Business,3428,3,5,5,4,4,4,4,5,satisfied
70782,Male,Loyal Customer,55,Business travel,Business,3412,2,1,3,2,2,2,2,3,neutral or dissatisfied
116814,Female,Loyal Customer,26,Business travel,Business,3005,1,5,5,5,4,4,4,5,satisfied
99280,Female,Loyal Customer,18,Business travel,Business,3277,4,4,4,4,4,3,3,4,neutral or dissatisfied
122511,Male,Loyal Customer,49,Business travel,Business,3805,3,4,3,3,3,4,3,2,neutral or dissatisfied
66432,Female,Loyal Customer,53,Business travel,Business,3643,5,4,4,3,3,3,3,4,satisfied
2784,Male,Loyal Customer,47,Business travel,Business,3065,3,3,2,3,3,3,3,1,neutral or dissatisfied
79559,Male,Loyal Customer,53,Business travel,Business,3825,3,5,4,3,3,4,3,3,satisfied
110967,Female,Loyal Customer,80,Business travel,Business,3859,5,2,4,5,5,4,5,4,neutral or dissatisfied
113272,Male,Loyal Customer,47,Business travel,Business,3136,2,3,4,3,3,4,3,3,satisfied
16009,Male,Loyal Customer,35,Business travel,Business,3153,3,1,5,5,5,4,5,4,satisfied
8972,Female,Loyal Customer,29,Business travel,Business,3458,2,2,2,2,2,1,3,2,neutral or dissatisfied
66058,Male,Loyal Customer,66,Business travel,Business,3829,3,3,3,3,3,3,3,3,neutral or dissatisfied
123737,Male,Loyal Customer,39,Business travel,Business,3264,3,5,4,5,5,5,5,5,satisfied
106632,Male,Loyal Customer,41,Business travel,Business,3161,3,4,3,3,3,3,3,3,neutral or dissatisfied
29620,Female,Loyal Customer,22,Business travel,Business,3652,5,5,5,5,2,2,1,5,satisfied
47324,Female,Loyal Customer,46,Business travel,Business,3460,4,4,2,4,4,5,4,1,satisfied
22684,Female,Loyal Customer,60,Business travel,Business,3851,2,3,4,2,2,2,2,4,neutral or dissatisfied
68930,Male,Loyal Customer,31,Business travel,Business,3695,1,5,5,5,5,4,5,5,satisfied
60874,Male,Loyal Customer,72,Business travel,Business,3081,4,5,4,4,4,4,4,5,satisfied
1036,Female,Loyal Customer,40,Business travel,Business,3608,3,2,1,5,5,5,5,1,satisfied
30351,Male,Loyal Customer,48,Business travel,Business,3842,2,2,2,3,3,3,3,5,satisfied
25368,Male,Loyal Customer,46,Business travel,Business,3533,4,3,3,3,3,3,3,2,satisfied
31623,Female,Loyal Customer,51,Business travel,Business,3591,3,2,1,5,5,5,5,1,satisfied
111139,Female,Loyal Customer,23,Business travel,Business,3264,3,3,3,3,4,4,3,3,neutral or dissatisfied
27341,Male,Loyal Customer,46,Business travel,Business,3128,4,1,1,2,2,2,2,2,satisfied
116965,Male,Loyal Customer,42,Business travel,Business,3376,5,3,4,5,5,5,5,4,satisfied
68631,Female,Loyal Customer,57,Business travel,Business,3425,5,5,4,5,5,5,5,3,satisfied
64404,Male,Loyal Customer,45,Business travel,Business,3469,4,2,5,4,4,4,4,3,satisfied
70553,Male,Loyal Customer,48,Business travel,Business,3478,3,5,5,3,3,3,3,4,satisfied
84135,Male,Loyal Customer,42,Business travel,Business,3777,2,2,5,5,5,5,5,5,satisfied
59279,Female,Loyal Customer,58,Business travel,Business,3365,4,2,2,4,3,5,4,2,satisfied
48732,Male,Loyal Customer,35,Business travel,Business,3036,1,4,5,5,5,5,5,5,satisfied
93250,Female,Loyal Customer,47,Business travel,Business,3776,5,5,4,5,5,4,5,3,neutral or dissatisfied
29941,Female,Loyal Customer,64,Business travel,Business,3942,0,3,1,3,3,3,3,4,satisfied
118530,Male,Loyal Customer,45,Business travel,Business,3124,2,5,5,4,3,5,5,5,satisfied
102965,Male,Loyal Customer,23,Business travel,Business,3414,2,5,5,5,5,5,5,5,satisfied
112161,Female,Loyal Customer,64,Business travel,Business,3866,2,5,2,2,2,2,2,1,neutral or dissatisfied
80796,Female,Loyal Customer,59,Business travel,Business,3018,3,4,5,3,3,3,3,3,satisfied
22356,Male,Loyal Customer,48,Business travel,Business,3734,1,5,2,2,2,2,2,1,neutral or dissatisfied
121785,Male,Loyal Customer,34,Business travel,Business,3870,1,3,5,5,5,5,5,3,satisfied
2718,Female,Loyal Customer,29,Business travel,Business,3877,2,5,5,5,5,5,5,5,satisfied
92667,Female,Loyal Customer,57,Business travel,Business,3283,1,1,3,1,1,1,1,3,neutral or dissatisfied
27231,Male,Loyal Customer,29,Business travel,Business,3351,4,4,4,4,2,3,1,4,satisfied
122949,Male,Loyal Customer,47,Business travel,Business,3094,4,3,5,4,4,4,4,4,satisfied
14315,Female,Loyal Customer,55,Business travel,Business,3861,2,3,3,2,2,3,2,1,neutral or dissatisfied
26882,Female,Loyal Customer,25,Business travel,Business,3145,3,4,4,4,4,1,1,4,satisfied
117902,Male,Loyal Customer,44,Business travel,Business,3331,3,5,5,4,4,4,4,5,satisfied
125078,Female,Loyal Customer,59,Business travel,Business,3803,5,3,4,3,3,4,3,3,satisfied
59270,Female,Loyal Customer,25,Personal Travel,Eco,4963,2,2,2,5,3,4,3,2,neutral or dissatisfied
63272,Female,Loyal Customer,45,Business travel,Business,3709,5,2,5,4,4,4,4,3,satisfied
117735,Female,Loyal Customer,34,Business travel,Business,3349,1,3,3,1,1,1,1,4,neutral or dissatisfied
104937,Female,Loyal Customer,56,Business travel,Business,3303,5,2,4,5,5,5,5,3,satisfied
58086,Female,Loyal Customer,25,Business travel,Business,3104,2,2,2,2,1,2,3,2,neutral or dissatisfied
114682,Female,Loyal Customer,43,Business travel,Business,3527,5,4,5,4,4,4,4,3,satisfied
93202,Female,Loyal Customer,39,Business travel,Business,3026,1,3,5,5,5,5,5,4,satisfied
66938,Male,Loyal Customer,21,Business travel,Business,3874,2,4,4,4,4,4,4,4,satisfied
5589,Female,Loyal Customer,60,Business travel,Business,3215,5,2,4,4,4,4,4,5,satisfied
5198,Female,Loyal Customer,51,Business travel,Business,3061,4,5,4,5,5,5,5,4,satisfied
9745,Male,Loyal Customer,39,Business travel,Business,3706,1,5,4,4,4,4,4,4,satisfied
10403,Male,Loyal Customer,43,Business travel,Business,3146,0,2,4,5,5,5,5,4,satisfied
30570,Female,Loyal Customer,46,Business travel,Business,3828,5,4,3,4,4,4,4,4,satisfied
9218,Female,Loyal Customer,52,Business travel,Business,3094,2,5,4,2,2,3,2,1,neutral or dissatisfied
60755,Male,Loyal Customer,27,Business travel,Business,3848,2,2,2,2,1,4,3,2,neutral or dissatisfied
7475,Female,Loyal Customer,60,Business travel,Business,3587,1,3,5,5,5,5,5,5,satisfied
49355,Male,Loyal Customer,41,Business travel,Business,3306,5,1,4,5,5,5,5,2,satisfied
69194,Female,Loyal Customer,59,Business travel,Business,3660,0,3,5,4,4,4,4,3,satisfied
114748,Male,Loyal Customer,52,Business travel,Business,3187,4,2,4,5,5,5,5,3,satisfied
13900,Female,Loyal Customer,50,Business travel,Business,3796,4,2,3,2,2,2,2,1,neutral or dissatisfied
7618,Male,Loyal Customer,50,Business travel,Business,3477,5,2,4,2,2,2,2,5,satisfied
80458,Female,Loyal Customer,57,Business travel,Business,3755,2,3,5,5,5,5,5,5,satisfied
88038,Male,Loyal Customer,52,Business travel,Business,3889,5,4,5,5,5,5,5,5,satisfied
408,Female,Loyal Customer,47,Business travel,Business,3169,2,1,2,2,2,2,2,1,neutral or dissatisfied
96609,Male,Loyal Customer,43,Business travel,Business,3723,2,4,5,2,2,2,2,5,satisfied
57387,Male,Loyal Customer,36,Business travel,Business,3491,5,4,4,3,3,3,3,4,satisfied
14787,Male,Loyal Customer,34,Business travel,Business,3488,3,1,4,5,5,5,5,5,satisfied
36504,Male,Loyal Customer,26,Business travel,Business,3087,3,4,4,4,4,1,2,4,satisfied
96135,Male,Loyal Customer,43,Business travel,Business,3890,1,4,3,1,1,2,1,3,neutral or dissatisfied
4849,Male,Loyal Customer,29,Business travel,Business,3198,1,1,1,1,4,5,3,1,neutral or dissatisfied
79734,Male,Loyal Customer,26,Business travel,Business,3510,1,3,3,3,4,3,4,3,satisfied
115021,Female,Loyal Customer,33,Business travel,Business,3240,1,4,5,5,5,5,5,4,satisfied
66794,Female,Loyal Customer,53,Personal Travel,Eco,3784,3,3,5,4,4,4,5,5,neutral or dissatisfied
117358,Male,Loyal Customer,50,Business travel,Business,3929,4,3,5,4,4,4,4,5,satisfied
118882,Male,Loyal Customer,49,Business travel,Business,3249,4,3,4,5,5,5,5,5,satisfied
102041,Male,Loyal Customer,43,Business travel,Business,3075,2,5,3,2,2,2,2,3,neutral or dissatisfied
31870,Female,Loyal Customer,63,Personal Travel,Business,4983,0,0,1,3,2,4,5,1,satisfied
48084,Female,Loyal Customer,25,Business travel,Business,3518,2,4,4,4,5,3,4,4,satisfied
76051,Female,Loyal Customer,25,Business travel,Business,3003,2,4,4,4,4,2,5,4,satisfied
107658,Male,Loyal Customer,40,Business travel,Business,3667,3,2,5,5,5,5,5,5,satisfied
126168,Female,Loyal Customer,13,Business travel,Business,3092,1,1,1,1,3,4,3,1,neutral or dissatisfied
9555,Female,Loyal Customer,54,Business travel,Business,3661,2,3,5,5,5,5,5,5,satisfied
3520,Female,Loyal Customer,43,Business travel,Business,3542,4,2,4,5,5,5,5,4,satisfied
59801,Male,Loyal Customer,17,Business travel,Business,3335,5,4,4,4,3,2,5,4,satisfied
22758,Female,Loyal Customer,55,Business travel,Business,3609,4,5,5,3,1,2,5,5,satisfied
120215,Female,Loyal Customer,13,Business travel,Business,3990,3,3,3,3,4,1,3,3,neutral or dissatisfied
7651,Female,Loyal Customer,26,Business travel,Business,3877,3,3,3,3,4,5,3,3,neutral or dissatisfied
93864,Male,Loyal Customer,58,Business travel,Business,3084,1,3,5,3,3,4,3,5,satisfied
45100,Male,Loyal Customer,43,Business travel,Business,3072,4,4,2,5,5,5,5,5,satisfied
53655,Male,Loyal Customer,53,Business travel,Business,3716,3,3,4,5,5,5,5,3,satisfied
105475,Female,Loyal Customer,42,Business travel,Business,3336,3,5,5,4,4,4,4,4,satisfied
70492,Female,Loyal Customer,80,Business travel,Business,3502,2,1,4,2,2,2,2,3,neutral or dissatisfied
84332,Female,Loyal Customer,60,Business travel,Business,3380,4,5,5,3,3,3,3,4,satisfied
121347,Female,Loyal Customer,46,Business travel,Business,3934,4,2,4,4,4,4,4,3,satisfied
125236,Male,Loyal Customer,42,Business travel,Business,3869,2,3,5,5,5,5,5,3,satisfied
79510,Male,Loyal Customer,55,Business travel,Business,3079,1,5,4,4,4,4,4,3,satisfied
112213,Male,Loyal Customer,30,Business travel,Business,3470,1,4,4,4,3,4,5,4,satisfied
54019,Female,Loyal Customer,42,Business travel,Business,3818,1,2,3,4,4,4,4,5,satisfied
45415,Female,Loyal Customer,29,Business travel,Business,3204,1,4,4,4,3,5,4,4,satisfied
63137,Male,Loyal Customer,44,Business travel,Business,3381,3,4,5,5,5,5,5,5,satisfied
85206,Female,Loyal Customer,56,Business travel,Business,3097,2,3,4,2,2,2,2,2,neutral or dissatisfied
882,Male,Loyal Customer,49,Business travel,Business,3474,4,2,5,4,4,4,4,4,satisfied
90096,Male,Loyal Customer,66,Business travel,Business,3088,5,2,4,4,4,4,4,4,satisfied
3697,Female,Loyal Customer,31,Business travel,Business,3802,4,4,4,4,1,5,3,4,neutral or dissatisfied
114961,Female,Loyal Customer,33,Business travel,Business,3723,3,4,4,4,4,4,4,5,satisfied
115696,Male,Loyal Customer,41,Business travel,Business,3232,2,2,5,5,5,5,5,5,satisfied
104471,Male,Loyal Customer,32,Business travel,Business,3840,2,5,5,5,3,4,4,5,satisfied
110519,Female,Loyal Customer,49,Business travel,Business,3490,3,4,4,2,2,2,2,5,satisfied
8409,Male,Loyal Customer,22,Business travel,Business,3485,2,4,4,4,5,4,5,4,satisfied
17464,Female,Loyal Customer,55,Business travel,Business,3234,5,2,5,5,5,5,5,3,satisfied
23954,Male,Loyal Customer,21,Business travel,Business,3294,1,5,5,5,2,2,5,5,satisfied
112388,Female,Loyal Customer,48,Business travel,Business,3150,3,4,4,3,3,3,3,4,satisfied
110244,Male,Loyal Customer,38,Business travel,Business,3427,3,2,3,3,3,3,3,1,neutral or dissatisfied
27324,Male,Loyal Customer,24,Business travel,Business,3782,5,3,3,3,5,2,2,3,satisfied
94245,Male,Loyal Customer,42,Business travel,Business,3369,4,2,4,4,4,4,4,3,satisfied
32374,Female,Loyal Customer,37,Business travel,Business,3155,5,4,4,5,5,4,5,4,satisfied
